,회의번호,대수,회의구분,회수,차수,회의연도,안건,발언자,발언순번,sent_raw,sent_id
117,59,1,본회의,제1회,제59차,1948,"2. 반민족행위처벌법안 제2, 3독회",부의장 김약수,59,"(김웅진 의원 「반민족행위처벌법」 축조낭독) 「반민족행위처벌법」 목 록 「제1장 죄 제2장 특별조사위원회 제3장 특별재판부구성 급 수속 부 칙반민족행위처벌법 제1장 죄 제1조 일본 정부와 통모하여 한일합병에 적극 협력한 자, 한국의 주권을 침해하는 조약 또는 문서에 조인한 자 급 모의한 자는 사형 또는 무기징역에 처하고 그 재산 급 유산의 전부 혹은 2분지 1 이상을 몰수한다」 (「이의 없읍니다」 하는 이 있음) 「제2조 일본 정부로부터 작을 수한 자 또는 일본 제국의회의 의원이 되었든 자는 무기 또는 5개년 이상의 징역에 처하고 그 재산 급 유산의 전부 혹은 2분지 1 이상을 몰수한다」 (「이의 없읍니다」 하는 이 있음) 「제3조 일본 치하 독립운동자나 그 가족을 악의로 살상 박해한 자 또는 이를 지휘한 자는 사형 무기 또는 5개년 이상의 징역에 처하고 그 재산의 전부 혹은 일부를 몰수한다」 (「이의 없읍니다」 하는 이 있음) 「제4조 좌의 각호의 1에 해당하는 자는 10년 이하의 징역에 처하거나 15년 이하의 공민권을 정지하고 그 재산의 전부 혹은 일부를 몰수할 수 있다.",22
118,60,1,본회의,제1회,제60차,1948,3. 연호문제에관한건 ,최운교 의원,56,"이 사실문제라고 하는 그것은, 즉 지금부터 기미년 3월 1일 날 이 나라의 우리 민족의 국권을 박탈당해 가지고서 우리나라 3천만이 33인의 민족대표로서 독립선언서를 내며 따라서 독립정부를 세웠던 것입니다.",23
119,60,1,본회의,제1회,제60차,1948,3. 연호문제에관한건 ,조국현 의원,59,"여러분, 우리나라에는 이와 달라서 주권을 하로라도 비지 아니하였읍니다.",24
120,61,1,본회의,제1회,제61차,1948,3. 국가와국기제정에관한건의안,정균식 의원,54,"물론 여러분이 잘 아시는 바와 같이 국가에는, 온 나라에는 국토와 국민과 주권에 대한 어떠한 표상이 있읍니다.",25
121,61,1,본회의,제1회,제61차,1948,3. 국가와국기제정에관한건의안,정균식 의원,54,"국호로 말할진대 혹 칭호나 명사의 표상이고 하며 국가 국기 이것은, 국기는 혹 부대적 표상이라고도 할 수 있을 것이며, 나라의 노래는 국가에 있어서 언사적(言事的) 내지 정신적 문화예술 방면을 통한 국토와 국민과 주권에 대한 이런 표상이라고 볼 수 있는 것입니다.",26
122,61,1,본회의,제1회,제61차,1948,3. 국가와국기제정에관한건의안,정균식 의원,54,이 애국가의 발족도 여러분께서는 아실 것입니다마는 전날에 우리 애국청년으로서 우리 독립을 얻으려 할 때에 주권을 차지려 할 때에 독립사상을 고취시키고 우리의 민족의식을 진작시키기 위해서 나라를 사랑하며 주권을 그리워하고 함으로써 애달픈 이런 가사로서 지어 놓은 것입니다.,27
123,61,1,본회의,제1회,제61차,1948,3. 국가와국기제정에관한건의안,정균식 의원,54,그것은 좀 아까 말씀한 우리 국토와 국민과 주권이 있음에 예술적으로 완성해야겠다고 하는 데서 곡조에 있어서는 특별히 다른 데에서 구해서 외국 사람의 곡조라도 좋을 것입니다.,28
125,64,1,본회의,제1회,제64차,1948,2. 대한민국정부급미국정부간의재정급재산에대한최초의협정안비준에관한동의의건,이강우 의원,72,아까 총리께서 설명하시기를 국회의 승인을 받는 차제로  국권이 발동된다고 하는 이런 말씀이 계셨읍니다.,29
126,64,1,본회의,제1회,제64차,1948,2. 대한민국정부급미국정부간의재정급재산에대한최초의협정안비준에관한동의의건,이강우 의원,72,우리는 물론 종이만 있다고 하면 이양이 되고 국권이 발동되리라고 하는 것을 믿었든 바인데 국회의 승인은 차제로서 한 시간이라도 속히 된다고 하면 속히 국권이 발동되리라고 하는 그런 말씀이 계셨읍니다.,30
127,64,1,본회의,제1회,제64차,1948,2. 대한민국정부급미국정부간의재정급재산에대한최초의협정안비준에관한동의의건,이강우 의원,72,아까 총리께서 그러한 말씀이 계셨으니까 우리는 그 내용에 있어서 가령 불만한 조건이 있다 하드라도 시간에 따라서 국권 발동이 발생된다는 그러한 말씀에 의지해서 우리는 무조건하고 승인하야 주기를 동의합니다.,31
128,64,1,본회의,제1회,제64차,1948,2. 대한민국정부급미국정부간의재정급재산에대한최초의협정안비준에관한동의의건,박해극 의원,76,"그러므로 본인의 생각에는 오늘날 이러한 것을 국가에서 정부에 관한 것을 불과 200명의 국회가 책임을 지지만 국회의원이라는 것은 적어도 삼천만 민중, 우리 주권자 된 삼천만 민중에 대해서 책임을 지고 있읍니다.",32
129,64,1,본회의,제1회,제64차,1948,2. 대한민국정부급미국정부간의재정급재산에대한최초의협정안비준에관한동의의건,김명동 의원,81,"지금 여러분께서 말씀하셨는데 오후 전원회의를 열자, 이틀만 하자, 사흘만 하자는 등 그런 말을 하는 분이 있읍니다마는 우리는 이 문제가 신중을 기하여야 하는 만큼 우리가 하로속히 인준해서 하로라도 속히 국권을 찾자고 하는 것입니다.",33
130,64,1,본회의,제1회,제64차,1948,2. 대한민국정부급미국정부간의재정급재산에대한최초의협정안비준에관한동의의건,김명동 의원,81,그러나 우리는 국권을 찾는 데 있어서는 완전한 국권을 찾지 않으면 안 됩니다.,34
131,64,1,본회의,제1회,제64차,1948,2. 대한민국정부급미국정부간의재정급재산에대한최초의협정안비준에관한동의의건,김동원 의원,100,이 일에 대해서는 우리가 먼저 생각할 것은 무엇이냐 하면 미국으로서 막대한 금전을 얻게 되니까 그로 말미아마 우리 상대 국가의 소위 주권에 다소 무슨 저희(沮戱)를 받지 않을가 하는 그것을 검토할 뿐이올시다.,35
132,64,1,본회의,제1회,제64차,1948,2. 대한민국정부급미국정부간의재정급재산에대한최초의협정안비준에관한동의의건,김동원 의원,100,미국에 관계되는 일인 만큼 우리가 거기에 대해서 신중을 기할 것은 무엇인고 하면 미국보다도 더 잘 우리를 도와주는 국가가 있을지라도 우리가 금후 주권에 대해서 어떠한 지장이 오는가 하는 거기에 중점을 두어 가지고 우리가 다소 검토할 것뿐인 줄 압니다.,36
133,64,1,본회의,제1회,제64차,1948,2. 대한민국정부급미국정부간의재정급재산에대한최초의협정안비준에관한동의의건,김동원 의원,100,"그러나 이제 어떤 분이 말씀한 바와 같이 만일 거기에 평가를 해서 오산(誤算)이 되어서 시가평가를 하지 않고 과대한 평가를 해서 어떠한 것이 너무 많다고 한다든지 이와 같이 한다고 할 것 같으면 우리가 5억 불을 얻는 것을 10억 불 20억 불을 얻는다는 것은 도무지 자미가 없으니까 만일 평가가 정당하냐 또는 모든 출발점이 정당하냐, 결국은 우리가 이러한 일을 함으로서 금후 우호국가 미국에 대해서 미국이 다소 우리의 주권에 간섭할 점이 있지 않을까 하는 그런 것을 엿보고 검토할 것, 그 외에 다소 우리가 절대한 신탁을 하지 않는다고 할지라도 정부 당국에 맡겨 드리고 이 몇 가지 점에 검토하는 데에 있는 줄로 생각합니다.",37
134,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,이항발 의원,2,그 국정 이양을 하로빨리 우리 대한민국 정부에다가 이양하고 또는 우리 민족이 간원(懇願)하는 그 주권을 하로빨리 우리 대한민국에 우리 주권을 부여하기 위한다는 성의에서 나온 협정이라고 봅니다.,38
135,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,이항발 의원,2,"그러므로 본인의 생각에는 우리의 우방인 우리의 은혜로운 미국이 국제적으로 우리 약소민족의 주권을 위하고 자유 민족을 만들기 위해서 노력해 왔던 그것과, 따라서 국내 모든 착잡 혼란한 현상을 하로빨리 수습하기 위해서 우리 대한민국의 그 주권을 주었다는 점에 대해서는 우리로서는 성의로서 그에 감사의 뜻을 표시하지 않으면 안 될 줄 압니다.",39
136,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,이항발 의원,2,"하나는 우리는 제1차대전을 통해서 보고 또 제2차대전을 하는 동안 우리는 전쟁의 가장 중요한 원인이 어데 있느냐, 각 민족 각 국가가 자기 주권을 침해받지 아니하기 위해서 전쟁을 했다고 볼 수 있읍니다.",40
137,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,이항발 의원,2,이 전쟁에서 각 민족 각 국가의 주권이라든지 이것을 보장하고 그 민족이 가지고 있는 영토를 침해받지 않기 위해서 나타난 전쟁이라고 생각할 수 있읍니다.,41
138,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,신현돈 의원,32,그러나 실지 문제에 있어서 앞으로 국권을 가지고 우리 국회 내지 우리 정부가 과연 공정하고 양심적으로 미국 정부와 협약을 할 수 있느냐 없느냐 하는 것은 우리 주권에 달린 것이지 이 문구 기본 여하로서 중대한 문제를 좌우될 것이 아니라고 나는 확실히 지적합니다.,42
139,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,신현돈 의원,32,이렇게 볼진데 저 의원은 모든 것을 선의로만 해석하고 또 모든 문구의 불평을 말살한다고 하는 그러한 오해를 가지실 줄 모르지만 우리가 냉정히 비판할 때에 우리가 현실 문제에 들어가서 20년 후 10년 이후 운운하는 것은 너무 우리의 주권과 우리의 권리와 우리의 국가의 주권을 부인하고 하는 말이 아닌가 나는 생각합니다.,43
140,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,신현돈 의원,32,"그러고 대체 어제 공기 가운데에서 부득이 우리의 국권을 찾기 위해서 여러 가지 정세로 봐서 우리가 이것을 승인한다, 아까 권 의원의 말씀과 마찬가지로 눈을 감는다든지 백지라든지 혹은 무조건으로 이것을 승인한다는 것은 그러한 말은 도저히 성립될 수 없는 것입니다.",44
141,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,신현돈 의원,32,그런 고로 본 의원의 주장은 이제 서로 금액을 인수하는 또는 국권을 갖지 못한 우리가 국권을 인수하는 이 마당에서 이 금액 가운데에 우호적 혹은 호의적으로 조약된 이 조건인 까닭에 나는 이것을 우리가 도장을 찍고 승인한다 할지라도 내 마음에는 해석이 잘못될는지 모르지만 그다지 큰 과오가 없다는 것을 나는 생각합니다.,45
142,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,육홍균 의원,37,"우리가 독립한다는 것은 우리의 자주권을 찾기 위한 것인데 조금 시일이 지연된다고 해서 우리의 자주권이 상실되는 것 같은 감이 혹은 우리 독립권에 침해되는 것 같은 어떠한 문구가 있다고 하면 이것은 어데까지든지 우리가 규명해 놓고 처리해야 되지, 만약에 그렇지 않고 시급하다 혹은 미국은 우리를 원조하는 나라이니까 추호라도 그 나라의 의도를 의심할 필요가 없다고 해서 어물어물하는 것은 장래에 우리가 반드시 큰 과오를 남겨 놓는 결과가 되리라고 생각합니다.",46
143,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,내무부장관 윤치영,39,전시 적국에 대해서 점령지대에 있는 신생국가에 대해서 주권을 찾을려고 정권 이양에 대한 점령군 사령관과 현 정부를 구성한 법적 승인을 맡은 것입니다.,47
144,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,내무부장관 윤치영,39,"그러므로 첫째, 국제조약은 그 재료에 있어서 먼저 그 제출하는 그 조문이 평등 우호 자유 주권을 존중하는 조약인가 아닌가 살피는 데 있어서 신생국가를 찾은 우리 대표자로서 이 조문을 승인하는 것이 조금도 어그러진 것이 없다고 생각해서 조문에 승인했던 것입니다.",48
145,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,내무부장관 윤치영,39,여러분 다 아시는 바와 마찬가지로 9월 21일이라는 것이 앞으로 5일밖에 남아 있지 않은데 9월 21일에 마땅히 순서대로 국제연합 총회에서 우리의 문제를 토의한다 하지만 아직 우리에게 법리적 정권 이양을 받지 못했으며 우리는 대표로서 완전히 주권을 대표할 수가 없읍니다.,49
146,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,내무부장관 윤치영,39,하므로 제가 긴 말씀 하지 않고 큰 과오가 있는 것처럼 말씀하시는 것은 조금 지나친 것이고 또 한 가지는 이 문제가 앞으로 21일 이후에 곧 발표가 돼서 완전한 주권국가로 행세해야 될 것인데 국회에서는 여기에 대해서 어떻게 결말을 지을지 잘 아실 줄 압니다.,50
147,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,내무부장관 윤치영,39,헬믹 소장의 편지와 같이 외국 대사나 공사나 우리에게 와서 중요한 것을 요구하면 양보한다든지 이것은 조금도 주권의 침해가 아니 되는 것입니다.,51
148,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,대통령 이승만,46,지금 잊어버린 국권을 회복해서 정부를 세워 가지고 우리 다시 남선(南鮮)이나마 먼저 해 가지고 이 주권을 하루바삐 찾어야 되겠다고 하는 것이 우리의 제일 중요한 문제라고 생각하고 여러분도 다 아시고 동포가 다 각오하는 바입니다.,52
149,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,대통령 이승만,46,미국 사람들이 남의 나라에는 도와주지 않고 우리나라에만 도와주는 것이 아니라 구라파 각국에 있어서의 곡식과 물자를 가지고 도와주는 것과 같이 우리나라도 예전부터 도와주었지마는 아직 주권을 받지 못했으므로 주권을 받은 지금에 와서 이 기회에 도와주자고 작정한 것입니다.,53
150,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,장홍염 의원,50,만약 근본 협정이 국민 전체의 의사에 조금이라도 불합당하고 우리의 주권을 침해하려는 점이 있다면 어찌하겠읍니까?,54
151,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,장홍염 의원,50,무체라면 이것이 곧 말하면 주권을 침해하는 무언의 진언(進言)이라고 단언합니다.,55
152,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,신성균 의원,53,그러나 우리가 정치적으로 이 문제를 해결할려고 할 때에 만일 주권을 찾지 않고 만다면 모르지만 누구든지 여기 모인 우리 동지들은 합법적으로 주권을 한번 회복하자는 데까지는 별 이의가 없을 것입니다.,56
153,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,신성균 의원,53,그러면 이 주권을 회복하자는 이 단계에 있어서는 이러한 협정이 불가피한 사정이라고 봅니다.,57
154,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,신성균 의원,53,"그런데 이 협정을 불가불 하기는 해야겠는데 지금 나온 이 협정의 가장 중대한 검토할 문제가 무엇이냐 하면 이 협정에 우리 주권을 침해하는 것이 있느냐 없느냐 이것이 가장 중요한 문제이고, 설사 주권을 침해한 것이 없다 할지라도 장래 이 협정으로 경제적으로 우리를 착취할 음모가 들었느냐 안 들었느냐 하는 것을 검토할 필요가 있다고 생각합니다.",58
155,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,신성균 의원,53,그런 고로 조문 자체에만 모두가 말씀하신 바와 같이 이 협정 자체가 미국이 우리 주권을 침해하거나 경제적으로 착취할 음모가 기획되 있다 하드라도 이 협정안 같은 것은 본문만 가지고 그렇게 해석할 수가 없읍니다.,59
156,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,신성균 의원,53,"그러나 이러한 법문적으로 해석을 해서 가장 냉정하니 비판을 하고 지금 단계에 있어 우리가 취할 태도가 이런 국회보다도 버리고 혁명적 수단으로 한번 해 보느냐, 합법적으로 이 국회를 이용해서 국권을 회복을 하느냐, 이 판단만 한번 내린 후며는 이 협정에 대해서 우리가 동의를 해 준 데에 대하여 결코 매국자 되지 않을 것을 본 의원은 확신하는 바입니다.",60
157,69,1,본회의,제1회,제69차,1948,1. 대한민국정부급미국정부간의재정급재산에관한최초협정동의의건,최태규 의원,83,미국이 이 협정에 관해서 전적으로 모든 주권을 우리에게 준다는 이유를 해득치 못하는 동시에 자유에 구속감을 느끼는 바이다.,61
158,74,1,본회의,제1회,제74차,1948,8. 국방부장교인사,국방부차관 최용덕,118,최근에 우리나라의 남북통일로서 완전한 자주독립이 속하게 달성하고 또는 세계의 여러 가지 복잡한 이때에 국방에 책임을 완전히 저서 국토 국권 국민을 완전히 보장하기를 결심합니다.,62
159,75,1,본회의,제1회,제75차,1948,4. 반공국민대회에관한대정부질의,김장열 의원,100,"그다음 문제는 조금 달라서 들은 바에 의지하면 이번 불상사를 연출하게 된 철도사건은 우리 경찰권 내에 수사권을 떠나서 어떤 나라에 딴 경찰권 내에 그 수사권이 이송되었다고 하는 그러한 말을 들었는데 이것이 사실이라고 하면 우리 책임 주권하에 내 국민의 죄는 내가 규명하고 내가 시비할 수 있는 권력 행사에 있어서 이것이 다른 나라에 수사권으로 행사할 수 있게 하는 이것은 우리 주권을 유린하는 것이 아닌가, 침해하는 것이 아닌가, 거기 대한 정당한 답변을 또한 요구하는 바입니다.",63
160,75,1,본회의,제1회,제75차,1948,4. 반공국민대회에관한대정부질의,내무부장관 윤치영,101,"그러므로 이것을 외국에서 간섭하는 데 있어서 이것은 우리 주권을 침범한다, 우리 경찰권을 모국(某國)이 침범한다, 나는 그렇게 안 봅니다.",64
161,75,1,본회의,제1회,제75차,1948,4. 반공국민대회에관한대정부질의,내무부장관 윤치영,101,일전에도 말씀했읍니다마는 여기에는 우리나라를 연합군이 점령하고 있는 이때 우리는 우리의 주권을 찾아서 그 권리를 이양받는 도중에 있기 때문에 미국 군인이 사상되었다고 해서 하는 것이 아니라 미국의 현 군인이 많이 희생됐다고 할 것 같으면 얼마든지 미군정으로서는 발동할 수 있다고 생각합니다.,65
162,75,1,본회의,제1회,제75차,1948,4. 반공국민대회에관한대정부질의,내무부장관 윤치영,101,우리 주권에 대해서 우리 경찰권에 대해서 아무 침범을 당한 것도 없읍니다.,66
163,76,1,본회의,제1회,제76차,1948,개의,의사국장 차윤홍,3,"혼돈한 지나간 3년간 우리 800만 애국청년과 애국학도의 진취세력을 총집결하여 매국적 반동세력을 분쇄하였으며, 외력(外力)의 압력과 국제정세의 불리를 과감히 돌파하였고, 모든 만방과 더부러 주권 있는 낙토(樂土)를 일으키고자 언제나 민중의 선두에서 정론(正論)을 고창하여 반탁 총진군의 주력이 되었으며, 5․10선거의 추진대로서 충분한 희생을 다 함으로 말미아마 대한민국의 웅장하고도 피눈물의 역사의 첫 장을 창조하였다고 자부하고 있읍니다.",67
164,77,1,본회의,제1회,제77차,1948,3. 회의시간변경및휴회에관한건,김인식 의원,140,그런데도 불구하고 이북에서는 지금 그야말로 남북을 통해 가지고 단일 투표로 남한에 있는 동포까지 선출해서 그야말로 세계에 가장 자기가 주권을 찾겠다는 것을 부르짖고 있는 이 마당입니다.,68
165,78,1,본회의,제1회,제78차,1948,2. 대통령시정방침연설 ,국무총리 이범석,10,서론  단군 시조의 전통적인 역사와 단일민족으로서 찬란한 문화를 계승하여 온 우리 대한민국은 역대 순국선열의 끊임없는 가호와 세계 민주주의 제(諸) 국가의 절대한 동정적 성원에 의하여 이제 바야흐로 국권을 회복하고 신생 자주독립 민족적 민주주의 국가로 탄생하여 순국선열의 대의에 보답케 됨은 대한민족 전체의 천재일우인 기쁨이며 또한 자손만대의 광영이 아닐 수 없읍니다.,69
166,78,1,본회의,제1회,제78차,1948,2. 대통령시정방침연설 ,국무총리 이범석,10,"환언(換言)하면 대한민국은 완전한 주권국가인 동시에 우리 민족의 역사적 자주성과 현실적 환경에 비추어 반드시 단일민족 국가인 것이며, 결코 어떠한 개인적 또는 집단적 특권도 용허되지 않을 것입니다.",70
